GHG source,Federal organization,Fiscal year,Fleet type,GHG scope,Energy category,Fuel type,Fuel consumption (L),Energy use (GJ),Emissions (t)
fleets,Agriculture and Agri-Food Canada,FY 2019-20,other mobile equipment,1,gasoline,gasoline,41386.68801,1448.534081,102.0678406
fleets,Agriculture and Agri-Food Canada,FY 2019-20,other mobile equipment,1,fuels with renewable content,ethanol-blended gasoline (10%),57710.30622,1954.070969,129.0113926
fleets,Agriculture and Agri-Food Canada,FY 2019-20,other mobile equipment,1,fuels with renewable content,biodiesel (5%),52863.68244,2010.590866,135.057415
fleets,Agriculture and Agri-Food Canada,FY 2019-20,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,129728.9585,4968.61911,355.2698479
fleets,Agriculture and Agri-Food Canada,FY 2019-20,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),207732.9728,7033.838458,433.3412419
fleets,Agriculture and Agri-Food Canada,FY 2019-20,other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,530374.8451,20313.35657,1426.111038
fleets,Agriculture and Agri-Food Canada,FY 2019-20,on-road vehicles,1,gasoline,gasoline,670860.0813,23480.10284,1554.214989
fleets,Agriculture and Agri-Food Canada,FY 2020-21,on-road vehicles,1,liquified petroleum gas,propane,1.999999995,0.05062,0.003080679
fleets,Agriculture and Agri-Food Canada,FY 2020-21,Other mobile equipment,1,liquified petroleum gas,propane,399.9998451,10.12399608,0.61613616
fleets,Agriculture and Agri-Food Canada,FY 2020-21,Other mobile equipment,1,fuels with renewable content,ethanol-blended gasoline (10%),11001.00023,372.4938679,24.5927279
fleets,Agriculture and Agri-Food Canada,FY 2020-21,on-road vehicles,1,fuels with renewable content,biodiesel (5%),17146.80373,652.1529597,44.65890358
fleets,Agriculture and Agri-Food Canada,FY 2020-21,Other mobile equipment,1,gasoline,gasoline,33597.1174,1175.899109,82.85718632
fleets,Agriculture and Agri-Food Canada,FY 2020-21,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),55146.33096,1867.254766,115.0379861
fleets,Agriculture and Agri-Food Canada,FY 2020-21,Other mobile equipment,1,fuels with renewable content,biodiesel (5%),53450.01335,2032.891083,136.5553608
fleets,Agriculture and Agri-Food Canada,FY 2020-21,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,128852.8721,4935.065002,352.8704796
fleets,Agriculture and Agri-Food Canada,FY 2020-21,on-road vehicles,1,gasoline,gasoline,322375.5406,11283.14392,746.8636246
fleets,Agriculture and Agri-Food Canada,FY 2020-21,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,398828.7465,15275.14099,1072.400055
fleets,Canada Border Services Agency,FY 2005-06,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),25571.99774,865.8678436,53.34446001
fleets,Canada Border Services Agency,FY 2005-06,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,149821.0156,5738.144897,410.2929764
fleets,Canada Border Services Agency,FY 2005-06,on-road vehicles,1,gasoline,gasoline,1700451.521,59515.80322,3939.521606
fleets,Canada Border Services Agency,FY 2010-11,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,19711.692,690.0894,48.44813173
fleets,Canada Border Services Agency,FY 2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,102080.046,3573.7347,255.5317352
fleets,Canada Border Services Agency,FY 2010-11,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),8837.2648,309.221211,17.81406536
fleets,Canada Border Services Agency,FY 2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),120745.338,4226.92186,57.7924263
fleets,Canada Border Services Agency,FY 2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),61273.955,2145.5389,131.5647495
fleets,Canada Border Services Agency,FY 2010-11,On-road vehicles,1,Gasoline,gasoline,1545955,54108.425,3467.577065
fleets,Canada Border Services Agency,FY 2011-12,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,22700.5,794.725,55.7941355
fleets,Canada Border Services Agency,FY 2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,99119.682,3470.0949,248.1212081
fleets,Canada Border Services Agency,FY 2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),599.54,20.9932,1.287306
fleets,Canada Border Services Agency,FY 2011-12,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),10309.096,360.72147,20.7809672
fleets,Canada Border Services Agency,FY 2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),201068.469,7038.78693,96.23754315
fleets,Canada Border Services Agency,FY 2011-12,On-road vehicles,1,Gasoline,gasoline,1543765.6,54031.796,3462.666241
fleets,Canada Border Services Agency,FY 2012-13,Marine vessels,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,11848.02,414.789,29.3176764
fleets,Canada Border Services Agency,FY 2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,75469.3712,2642.11784,188.9186
fleets,Canada Border Services Agency,FY 2012-13,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),8497.104,297.31878,17.1283728
fleets,Canada Border Services Agency,FY 2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),233223.171,8164.42387,111.6277709
fleets,Canada Border Services Agency,FY 2012-13,On-road vehicles,1,Gasoline,gasoline,1394850.6,48819.771,3128.649896
fleets,Canada Border Services Agency,FY 2013-14,Marine vessels,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,4078.432,142.7824,10.09199424
fleets,Canada Border Services Agency,FY 2013-14,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,78973.672,2764.8004,197.6907362
fleets,Canada Border Services Agency,FY 2013-14,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),7415.6544,259.478208,14.94839808
fleets,Canada Border Services Agency,FY 2013-14,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),297988.786,10434.22988,639.8284554
fleets,Canada Border Services Agency,FY 2013-14,On-road vehicles,1,Gasoline,gasoline,1415014,49525.49,3173.876402
fleets,Canada Border Services Agency,FY 2014-15,Marine vessels,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,4078.432,142.7824,10.09199424
fleets,Canada Border Services Agency,FY 2014-15,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,88064.51662,3083.063059,220.4473805
fleets,Canada Border Services Agency,FY 2014-15,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),7378.308,258.171435,14.8731156
fleets,Canada Border Services Agency,FY 2014-15,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),297547.834,10418.78972,638.8816626
fleets,Canada Border Services Agency,FY 2014-15,On-road vehicles,1,Gasoline,gasoline,1462208.29,51177.29015,3279.733194
fleets,Canada Border Services Agency,FY 2014-15,On-road vehicles,1,Liquified petroleum gas,propane,135.1287,4.730439,0.287889546
fleets,Canada Border Services Agency,FY 2015-16,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),5311.6255,185.833595,12.44567118
fleets,Canada Border Services Agency,FY 2015-16,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,81830.9812,2864.83234,204.8432915
fleets,Canada Border Services Agency,FY 2015-16,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),297969.8328,10433.56622,639.7877599
fleets,Canada Border Services Agency,FY 2015-16,Marine vessels,1,Gasoline,gasoline,868.4,30.394,1.9304532
fleets,Canada Border Services Agency,FY 2015-16,On-road vehicles,1,Gasoline,gasoline,1447213.5,50652.4725,3246.099881
fleets,Canada Border Services Agency,FY 2016-17,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),4009.943,140.29267,9.39569855
fleets,Canada Border Services Agency,FY 2016-17,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,86994.5518,3045.60451,217.7689925
fleets,Canada Border Services Agency,FY 2016-17,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),851.2,29.784,1.71584
fleets,Canada Border Services Agency,FY 2016-17,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),7786.284,272.64072,16.7183676
fleets,Canada Border Services Agency,FY 2016-17,Marine vessels,1,Gasoline,gasoline,511,17.885,1.135953
fleets,Canada Border Services Agency,FY 2016-17,On-road vehicles,1,Gasoline,gasoline,1698109,59433.815,3808.858487
fleets,Canada Border Services Agency,FY 2017-18,on-road vehicles,1,liquified petroleum gas,propane,205.0000222,5.188550562,0.315769663
fleets,Canada Border Services Agency,FY 2017-18,Marine Vessels,1,gasoline,gasoline,594.0001249,20.79000437,1.383934081
fleets,Canada Border Services Agency,FY 2017-18,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (85%),3574.000136,90.45794344,1.27162873
fleets,Canada Border Services Agency,FY 2017-18,on-road vehicles,1,fuels with renewable content,biodiesel (20%),4717.998169,175.6699438,10.39071018
fleets,Canada Border Services Agency,FY 2017-18,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,73311.98311,2807.848953,200.7688599
fleets,Canada Border Services Agency,FY 2017-18,on-road vehicles,1,gasoline,gasoline,1654660.784,57913.12744,3833.436035
fleets,Canada Border Services Agency,FY 2018-19,on-road vehicles,1,liquified petroleum gas,propane,84.10003076,2.128571779,0.129542588
fleets,Canada Border Services Agency,FY 2018-19,on-road vehicles,1,fuels with renewable content,ethanol-blended gasoline (10%),859.1999194,29.09250927,1.792334333
fleets,Canada Border Services Agency,FY 2018-19,on-road vehicles,1,fuels with renewable content,biodiesel (5%),4871.561099,185.282519,12.68799572
fleets,Canada Border Services Agency,FY 2018-19,on-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,71473.04416,2737.417591,195.7327578
fleets,Canada Border Services Agency,FY 2018-19,on-road vehicles,1,gasoline,gasoline,1652966.41,57853.82434,3829.509904
